OBJECTID,AAC,District Number,DIST_NAME,State Code,Source,Fire Behaviour Index,Fire Danger,Forecast_Period,Start_Time,End_Time,Start_Time_UTC_str,End_Time_UTC_str
86,VIC_FW004,4,North East,VIC,BOM,6,No Rating,1,5/3/2026 7:41:00 PM,5/4/2026 2:00:00 PM,2026-05-03T19:41:00Z,2026-05-04T14:00:00Z
87,VIC_FW005,5,East Gippsland,VIC,BOM,11,No Rating,1,5/3/2026 7:41:00 PM,5/4/2026 2:00:00 PM,2026-05-03T19:41:00Z,2026-05-04T14:00:00Z
88,VIC_FW006,6,West and South Gippsland,VIC,BOM,20,Moderate,1,5/3/2026 7:41:00 PM,5/4/2026 2:00:00 PM,2026-05-03T19:41:00Z,2026-05-04T14:00:00Z
89,VIC_FW007,7,Central,VIC,BOM,22,Moderate,1,5/3/2026 7:41:00 PM,5/4/2026 2:00:00 PM,2026-05-03T19:41:00Z,2026-05-04T14:00:00Z
90,VIC_FW008,8,North Central,VIC,BOM,13,Moderate,1,5/3/2026 7:41:00 PM,5/4/2026 2:00:00 PM,2026-05-03T19:41:00Z,2026-05-04T14:00:00Z
91,VIC_FW009,9,South West,VIC,BOM,18,Moderate,1,5/3/2026 7:41:00 PM,5/4/2026 2:00:00 PM,2026-05-03T19:41:00Z,2026-05-04T14:00:00Z
92,WA_FW041,1,North Kimberley,WA,DFES,6,No Rating,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
93,WA_FW042,2,Derby Coast,WA,DFES,6,No Rating,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
94,WA_FW043,3,Broome Coast,WA,DFES,4,No Rating,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
95,WA_FW044,6,Hedland,WA,DFES,23,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
96,WA_FW045,7,Burrup,WA,DFES,20,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
97,WA_FW046,9,Ashburton Coast,WA,DFES,16,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
98,WA_FW047,5,Central Pilbara,WA,DFES,26,High,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
99,WA_FW048,12,Gascoyne Coast,WA,DFES,26,High,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
100,WA_FW049,13,Gascoyne Inland,WA,DFES,24,High,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
101,WA_FW050,14,Yalgar,WA,DFES,23,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
102,WA_FW051,17,West Interior,WA,DFES,23,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
103,WA_FW052,18,Central Interior,WA,DFES,25,High,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
104,WA_FW053,21,Midwest Coast,WA,DFES,24,High,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
105,WA_FW054,22,Midwest Inland,WA,DFES,22,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
106,WA_FW055,23,Lesueur,WA,DFES,20,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
107,WA_FW056,24,Yarra Yarra,WA,DFES,19,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
108,WA_FW057,34,Mortlock,WA,DFES,19,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
109,WA_FW058,35,Karroun,WA,DFES,15,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
110,WA_FW059,37,Lockwood,WA,DFES,15,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
111,WA_FW060,15,North Goldfields,WA,DFES,18,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
112,WA_FW061,16,South Goldfields,WA,DFES,5,No Rating,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
113,WA_FW062,19,South Interior,WA,DFES,19,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
114,WA_FW063,25,Swan Coastal North,WA,DFES,14,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
115,WA_FW064,26,Swan Inland North,WA,DFES,18,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
116,WA_FW066,27,Swan Coastal South,WA,DFES,12,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
117,WA_FW067,28,Swan Inland South,WA,DFES,15,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
118,WA_FW068,31,Brockman,WA,DFES,16,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
119,WA_FW069,30,Capes,WA,DFES,16,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
120,WA_FW070,33,Southern Forests,WA,DFES,15,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
121,WA_FW071,32,Blackwood,WA,DFES,15,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
122,WA_FW072,38,Arthur,WA,DFES,13,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
